State,Confirmed,Recovered,Deaths,Active,Last_Updated_Time,Migrated_Other,State_code,Delta_Confirmed,Delta_Recovered,Delta_Deaths,State_Notes
Total,5308328,4208074,85641,1013871,19/09/2020 10:40:11,742,TT,2672,2734,16,
Maharashtra,1167496,834432,31791,300887,18/09/2020 23:05:16,386,MH,0,0,0,"[Sep 9] : After reconciling COVID-19 cases in Mumbai, owing to the removal of duplicates and change of addresses as per the original residence, 239 cases have been removed from the progressive figures. 
[Aug 15] : MH bulletin has reduced 819 confirmed cases in Mumbai and 72 confirmed cases from 'Other States' from the tally
[Jun 16] : 1328 deceased cases have been retroactively added to MH bulletin.
[Jun 20] : 69 deceased cases have been reduced based on state bulletin."
Tamil Nadu,530908,475717,8685,46506,18/09/2020 18:59:06,0,TN,0,0,0,"[July 22]: 444 backdated deceased entries added to Chennai in TN bulletin.
2 deaths cross notified to other states from Chennai and Coimbatore.
1 patient died after turning negative for infection in Chengalpattu.
These cases have been added to TN deceased tally"
Andhra Pradesh,609558,519891,5244,84423,18/09/2020 18:22:01,0,AP,0,0,0,"Total includes patients from other states and a new category ""Foreign Evacuees"" which is now reported in AP bulletin."
Karnataka,502982,394026,7808,101129,18/09/2020 22:09:11,19,KA,0,0,0,
Delhi,238828,201671,4907,32250,18/09/2020 22:19:10,0,DL,0,0,0,"[July 14]: Value for the total tests conducted has been reduced by 97008 in the state bulletin. Reason given : ""Reconciled with ICMR figures"". We have made the same change.
[June 16]: 344 deceased cases have been retroactively added to DL bulletin."
Uttar Pradesh,342788,270094,4869,67825,18/09/2020 19:15:04,0,UP,0,0,0,
West Bengal,218772,190021,4242,24509,18/09/2020 22:09:15,0,WB,0,0,0,
Bihar,165371,151400,859,13111,18/09/2020 18:22:03,1,BR,0,0,0,
Telangana,169169,137508,1025,30636,19/09/2020 10:40:14,0,TG,2123,2151,9,"[July 27] : Telangana bulletin for the previous day is released on the next day. We will add the cases for Telangana against the date of release, as that is the convention that we are following for other states.
--
District-wise numbers are not reported because cumulative counts for each district are not provided in Telangana bulletin"
Gujarat,120498,101201,3287,16010,18/09/2020 20:09:06,0,GJ,0,0,0,
Assam,152858,123684,540,28631,19/09/2020 00:40:22,3,AS,0,0,0,
Rajasthan,111290,92265,1308,17717,18/09/2020 22:40:08,0,RJ,0,0,0,
Odisha,171341,137567,735,33039,18/09/2020 22:53:56,0,OR,0,0,0,"[July 12th] :20 non-covid deaths reported in state dashboard are included in the deceased count
[June 22nd]: NDRF/ODRF cases have been redistributed to districts based on state dashboard"
Haryana,106261,83878,1092,21291,18/09/2020 22:09:19,0,HR,0,0,0,[Aug 2]: 21 Foreign Evacuees have been merged to Panchkula and 14 Italian tourists have been merged to Gurugram in HR bulletin.
Madhya Pradesh,100458,76952,1901,21605,18/09/2020 22:40:18,0,MP,0,0,0,
Kerala,126383,90085,502,35726,18/09/2020 20:09:08,70,KL,0,0,0,"Mahe native who expired in Kannur included in Kerala's deceased tally.
One patient absconded from Palakkad to TN and one patient returned back to Maharashtra. Some non-covid deaths (accident,cancer etc.) have also been reported in the bulletin.
In total 70 such cases have been reduced from active count"
Punjab,92806,68458,2706,21642,18/09/2020 22:09:21,0,PB,0,0,0,
Jammu and Kashmir,61041,39305,966,20770,18/09/2020 18:59:10,0,JK,0,0,0,
Jharkhand,68578,54052,602,13924,18/09/2020 22:09:23,0,JH,0,0,0,
Chhattisgarh,81617,44392,645,36580,18/09/2020 22:54:00,0,CT,0,0,0,[Sep 9]:57 Deceased Cases are added from Backlog
Uttarakhand,38007,26095,464,11293,18/09/2020 22:19:27,155,UT,0,0,0,
Goa,27379,21314,335,5730,19/09/2020 07:39:12,0,GA,0,0,0,
Tripura,21504,14142,235,7105,19/09/2020 10:20:15,22,TR,535,583,7,"[Aug 4]: Tripura bulletin for the previous day is released on the next day. We will add the cases for Tripura against the date of release, as that is the convention that we are following for other states."
Puducherry,21913,16715,437,4761,18/09/2020 22:09:27,0,PY,0,0,0,
Manipur,8607,6629,52,1926,18/09/2020 22:54:03,0,MN,0,0,0,
Himachal Pradesh,11622,7054,109,4429,18/09/2020 22:40:38,30,HP,0,0,0,"Death of Tibetan refugee is included in deceased numbers, but not in confirmed"
Nagaland,5357,4108,10,1213,18/09/2020 22:40:42,26,NL,0,0,0,
Arunachal Pradesh,7005,5106,13,1886,19/09/2020 07:55:13,0,AR,0,0,0,[July 25]: All numbers corresponding to Papum Pare and Captial Complex are tracked under Papum Pare district.
Andaman and Nicobar Islands,3631,3414,52,165,18/09/2020 22:40:47,0,AN,0,0,0,
Ladakh,3635,2600,48,987,18/09/2020 23:18:17,0,LA,0,0,0,[Sep 08] : Testing details are not available in Ladakh bulletin from Sep 06 onwards
Chandigarh,9516,6415,110,2988,18/09/2020 19:15:07,3,CH,0,0,0,
Dadra and Nagar Haveli and Daman and Diu,2851,2616,2,206,18/09/2020 18:22:06,27,DN,0,0,0,
Meghalaya,4447,2437,34,1976,18/09/2020 23:05:26,0,ML,0,0,0,[June 17]: One case was identified to be false positive and has been removed from the confirmed cases by ML authorities.
Sikkim,2303,1857,26,420,18/09/2020 23:18:20,0,SK,0,0,0,
Mizoram,1548,973,0,575,19/09/2020 10:40:17,0,MZ,14,0,0,
State Unassigned,0,0,0,0,19/07/2020 09:40:01,0,UN,0,0,0,MoHFW website reports that these are the 'cases that are being reassigned to states'. 
Lakshadweep,0,0,0,0,26/03/2020 07:19:29,0,LD,0,0,0,
