SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
0,UN,State Unassigned,UN_Unassigned,Unassigned,4884,4884,0,0,0,284,284,0,0,,
1,AN,Andaman and Nicobar Islands,AN_Nicobars,Nicobars,0,0,0,0,0,0,0,0,0,,
2,AN,Andaman and Nicobar Islands,AN_North and Middle Andaman,North and Middle Andaman,1,0,1,0,0,0,0,0,0,,
3,AN,Andaman and Nicobar Islands,AN_South Andaman,South Andaman,51,19,32,0,0,0,0,0,0,,
0,AP,Andhra Pradesh,AP_Foreign Evacuees,Foreign Evacuees,416,226,190,0,0,0,0,0,0,,
4,AP,Andhra Pradesh,AP_Anantapur,Anantapur,2186,927,1247,12,0,0,0,0,0,,
5,AP,Andhra Pradesh,AP_Chittoor,Chittoor,1324,849,463,12,0,0,0,0,0,,
6,AP,Andhra Pradesh,AP_East Godavari,East Godavari,1607,1155,444,8,0,0,0,0,0,,
7,AP,Andhra Pradesh,AP_Guntur,Guntur,1827,1063,745,19,0,0,0,0,0,,
8,AP,Andhra Pradesh,AP_Krishna,Krishna,1743,1003,671,69,0,0,0,0,0,,
9,AP,Andhra Pradesh,AP_Kurnool,Kurnool,2451,1153,1217,81,0,0,0,0,0,,
0,AP,Andhra Pradesh,AP_Other State,Other State,2179,775,1404,0,0,0,0,0,0,,
10,AP,Andhra Pradesh,AP_Prakasam,Prakasam,700,323,375,2,0,0,0,0,0,,
11,AP,Andhra Pradesh,AP_S.P.S. Nellore,S.P.S. Nellore,730,342,382,6,0,0,0,0,0,,
12,AP,Andhra Pradesh,AP_Srikakulam,Srikakulam,189,129,54,6,0,0,0,0,0,,
13,AP,Andhra Pradesh,AP_Visakhapatnam,Visakhapatnam,721,337,378,6,0,0,0,0,0,,
14,AP,Andhra Pradesh,AP_Vizianagaram,Vizianagaram,215,149,63,3,0,0,0,0,0,,
15,AP,Andhra Pradesh,AP_West Godavari,West Godavari,1164,811,349,4,0,0,0,0,0,,
16,AP,Andhra Pradesh,AP_Y.S.R. Kadapa,Y.S.R. Kadapa,1245,801,440,4,0,0,0,0,0,,
17,AR,Arunachal Pradesh,AR_Anjaw,Anjaw,4,4,0,0,0,0,0,0,0,,
18,AR,Arunachal Pradesh,AR_Changlang,Changlang,91,54,37,0,0,0,0,0,0,,
19,AR,Arunachal Pradesh,AR_East Kameng,East Kameng,0,0,0,0,0,0,0,0,0,,
20,AR,Arunachal Pradesh,AR_East Siang,East Siang,10,0,10,0,0,0,0,0,0,,
21,AR,Arunachal Pradesh,AR_Kamle,Kamle,0,0,0,0,0,0,0,0,0,,
22,AR,Arunachal Pradesh,AR_Kra Daadi,Kra Daadi,0,0,0,0,0,0,0,0,0,,
23,AR,Arunachal Pradesh,AR_Kurung Kumey,Kurung Kumey,0,0,0,0,0,0,0,0,0,,
24,AR,Arunachal Pradesh,AR_Lepa Rada,Lepa Rada,1,1,0,0,0,0,0,0,0,,
25,AR,Arunachal Pradesh,AR_Lohit,Lohit,4,1,3,0,0,0,0,0,0,,
26,AR,Arunachal Pradesh,AR_Longding,Longding,4,3,1,0,0,0,0,0,0,,
27,AR,Arunachal Pradesh,AR_Lower Dibang Valley,Lower Dibang Valley,3,1,2,0,0,0,0,0,0,,
28,AR,Arunachal Pradesh,AR_Lower Siang,Lower Siang,3,3,0,0,0,0,0,0,0,,
29,AR,Arunachal Pradesh,AR_Lower Subansiri,Lower Subansiri,2,2,0,0,0,0,0,0,0,,
30,AR,Arunachal Pradesh,AR_Namsai,Namsai,15,12,3,0,0,0,0,0,0,,
31,AR,Arunachal Pradesh,AR_Pakke Kessang,Pakke Kessang,1,0,1,0,0,0,0,0,0,,
32,AR,Arunachal Pradesh,AR_Papum Pare,Papum Pare,93,83,10,0,0,0,0,0,0,,
33,AR,Arunachal Pradesh,AR_Shi Yomi,Shi Yomi,0,0,0,0,0,0,0,0,0,,
34,AR,Arunachal Pradesh,AR_Siang,Siang,0,0,0,0,0,0,0,0,0,,
35,AR,Arunachal Pradesh,AR_Tawang,Tawang,2,1,1,0,0,0,0,0,0,,
36,AR,Arunachal Pradesh,AR_Tirap,Tirap,5,3,2,0,0,0,0,0,0,,
37,AR,Arunachal Pradesh,AR_Upper Dibang Valley,Upper Dibang Valley,0,0,0,0,0,0,0,0,0,,
38,AR,Arunachal Pradesh,AR_Upper Siang,Upper Siang,1,0,1,0,0,0,0,0,0,,
39,AR,Arunachal Pradesh,AR_Upper Subansiri,Upper Subansiri,1,1,0,0,0,0,0,0,0,,
40,AR,Arunachal Pradesh,AR_West Kameng,West Kameng,27,20,6,1,0,0,0,0,0,,
41,AR,Arunachal Pradesh,AR_West Siang,West Siang,2,1,1,0,0,0,0,0,0,,
0,AS,Assam,AS_Airport Quarantine,Airport Quarantine,4,4,0,0,0,0,0,0,0,,
42,AS,Assam,AS_Baksa,Baksa,85,85,0,0,0,0,0,0,0,,
43,AS,Assam,AS_Barpeta,Barpeta,150,95,55,0,0,0,0,0,0,,
44,AS,Assam,AS_Biswanath,Biswanath,58,42,16,0,0,0,0,0,0,,
45,AS,Assam,AS_Bongaigaon,Bongaigaon,24,17,7,0,0,0,0,0,0,,
46,AS,Assam,AS_Cachar,Cachar,98,16,82,0,0,0,0,0,0,,
47,AS,Assam,AS_Charaideo,Charaideo,16,16,0,0,0,0,0,0,0,,
48,AS,Assam,AS_Chirang,Chirang,52,52,0,0,0,0,0,0,0,,
49,AS,Assam,AS_Darrang,Darrang,102,102,0,0,0,0,0,0,0,,
50,AS,Assam,AS_Dhemaji,Dhemaji,96,90,6,0,0,0,0,0,0,,
51,AS,Assam,AS_Dhubri,Dhubri,334,329,5,0,0,0,0,0,0,,
52,AS,Assam,AS_Dibrugarh,Dibrugarh,77,72,5,0,0,0,0,0,0,,
53,AS,Assam,AS_Dima Hasao,Dima Hasao,89,80,9,0,0,0,0,0,0,,
54,AS,Assam,AS_Goalpara,Goalpara,57,38,4,0,0,0,0,0,0,,
55,AS,Assam,AS_Golaghat,Golaghat,272,184,88,0,0,0,0,0,0,,
56,AS,Assam,AS_Hailakandi,Hailakandi,78,72,5,1,0,0,0,0,0,,
57,AS,Assam,AS_Hojai,Hojai,267,267,0,0,0,0,0,0,0,,
58,AS,Assam,AS_Jorhat,Jorhat,145,91,54,0,0,0,0,0,0,,
59,AS,Assam,AS_Kamrup,Kamrup,215,194,21,0,0,0,0,0,0,,
60,AS,Assam,AS_Kamrup Metropolitan,Kamrup Metropolitan,3748,3359,383,6,0,0,0,0,0,,
61,AS,Assam,AS_Karbi Anglong,Karbi Anglong,41,34,7,0,0,0,0,0,0,,
62,AS,Assam,AS_Karimganj,Karimganj,106,86,20,0,0,0,0,0,0,,
63,AS,Assam,AS_Kokrajhar,Kokrajhar,86,76,10,0,0,0,0,0,0,,
64,AS,Assam,AS_Lakhimpur,Lakhimpur,85,79,6,0,0,0,0,0,0,,
65,AS,Assam,AS_Majuli,Majuli,21,21,0,0,0,0,0,0,0,,
66,AS,Assam,AS_Morigaon,Morigaon,49,21,28,0,0,0,0,0,0,,
67,AS,Assam,AS_Nagaon,Nagaon,330,305,25,0,0,0,0,0,0,,
68,AS,Assam,AS_Nalbari,Nalbari,28,19,9,0,0,0,0,0,0,,
0,AS,Assam,AS_Other State,Other State,1,0,1,0,0,0,0,0,0,,
69,AS,Assam,AS_Sivasagar,Sivasagar,29,3,26,0,0,0,0,0,0,,
70,AS,Assam,AS_Sonitpur,Sonitpur,122,87,35,0,0,0,0,0,0,,
71,AS,Assam,AS_South Salmara Mankachar,South Salmara Mankachar,7,6,1,0,0,0,0,0,0,,
72,AS,Assam,AS_Tinsukia,Tinsukia,114,108,6,0,0,0,0,0,0,,
73,AS,Assam,AS_Udalguri,Udalguri,105,103,2,0,0,0,0,0,0,,
74,AS,Assam,AS_West Karbi Anglong,West Karbi Anglong,28,28,0,0,0,0,0,0,0,,
75,BR,Bihar,BR_Araria,Araria,138,21,116,1,0,0,0,0,0,,
76,BR,Bihar,BR_Arwal,Arwal,120,23,96,1,0,0,0,0,0,,
77,BR,Bihar,BR_Aurangabad,Aurangabad,287,88,198,1,0,0,0,0,0,,
78,BR,Bihar,BR_Banka,Banka,243,16,227,0,0,0,0,0,0,,
79,BR,Bihar,BR_Begusarai,Begusarai,528,151,373,4,0,0,0,0,0,,
80,BR,Bihar,BR_Bhagalpur,Bhagalpur,590,159,427,4,0,0,0,0,0,,
81,BR,Bihar,BR_Bhojpur,Bhojpur,276,83,190,3,0,0,0,0,0,,
82,BR,Bihar,BR_Buxar,Buxar,240,23,217,0,0,0,0,0,0,,
83,BR,Bihar,BR_Darbhanga,Darbhanga,356,87,264,5,0,0,0,0,0,,
101,BR,Bihar,BR_East Champaran,East Champaran,245,39,202,4,0,0,0,0,0,,
84,BR,Bihar,BR_Gaya,Gaya,275,94,178,3,0,0,0,0,0,,
85,BR,Bihar,BR_Gopalganj,Gopalganj,309,61,248,0,0,0,0,0,0,,
86,BR,Bihar,BR_Jamui,Jamui,104,25,78,1,0,0,0,0,0,,
87,BR,Bihar,BR_Jehanabad,Jehanabad,273,33,237,3,0,0,0,0,0,,
88,BR,Bihar,BR_Kaimur,Kaimur,208,29,178,1,0,0,0,0,0,,
89,BR,Bihar,BR_Katihar,Katihar,357,104,252,1,0,0,0,0,0,,
90,BR,Bihar,BR_Khagaria,Khagaria,327,31,293,3,0,0,0,0,0,,
91,BR,Bihar,BR_Kishanganj,Kishanganj,200,48,150,2,0,0,0,0,0,,
92,BR,Bihar,BR_Lakhisarai,Lakhisarai,142,15,127,0,0,0,0,0,0,,
93,BR,Bihar,BR_Madhepura,Madhepura,217,57,159,1,0,0,0,0,0,,
94,BR,Bihar,BR_Madhubani,Madhubani,504,128,374,2,0,0,0,0,0,,
95,BR,Bihar,BR_Munger,Munger,408,100,307,1,0,0,0,0,0,,
96,BR,Bihar,BR_Muzaffarpur,Muzaffarpur,489,150,335,4,0,0,0,0,0,,
97,BR,Bihar,BR_Nalanda,Nalanda,369,172,192,5,0,0,0,0,0,,
98,BR,Bihar,BR_Nawada,Nawada,360,81,276,3,0,0,0,0,0,,
100,BR,Bihar,BR_Patna,Patna,1003,469,522,12,0,0,0,0,0,,
102,BR,Bihar,BR_Purnia,Purnia,310,32,278,0,0,0,0,0,0,,
103,BR,Bihar,BR_Rohtas,Rohtas,371,41,325,5,0,0,0,0,0,,
104,BR,Bihar,BR_Saharsa,Saharsa,265,98,167,0,0,0,0,0,0,,
105,BR,Bihar,BR_Samastipur,Samastipur,373,74,295,4,0,0,0,0,0,,
106,BR,Bihar,BR_Saran,Saran,267,71,191,5,0,0,0,0,0,,
107,BR,Bihar,BR_Sheikhpura,Sheikhpura,170,39,131,0,0,0,0,0,0,,
108,BR,Bihar,BR_Sheohar,Sheohar,99,15,83,1,0,0,0,0,0,,
109,BR,Bihar,BR_Sitamarhi,Sitamarhi,153,24,126,3,0,0,0,0,0,,
110,BR,Bihar,BR_Siwan,Siwan,482,88,392,2,0,0,0,0,0,,
111,BR,Bihar,BR_Supaul,Supaul,275,27,248,0,0,0,0,0,0,,
112,BR,Bihar,BR_Vaishali,Vaishali,245,101,141,3,0,0,0,0,0,,
99,BR,Bihar,BR_West Champaran,West Champaran,282,108,172,2,0,0,0,0,0,,
113,CH,Chandigarh,CH_Chandigarh,Chandigarh,466,65,395,6,0,0,0,0,0,,
0,CT,Chhattisgarh,CT_Other State,Other State,1,0,1,0,0,0,0,0,0,,
114,CT,Chhattisgarh,CT_Balod,Balod,53,7,46,0,0,0,0,0,0,,
115,CT,Chhattisgarh,CT_Baloda Bazar,Baloda Bazar,245,23,222,0,0,0,0,0,0,,
116,CT,Chhattisgarh,CT_Balrampur,Balrampur,145,22,123,0,0,0,0,0,0,,
117,CT,Chhattisgarh,CT_Bametara,Bametara,71,23,48,0,0,0,0,0,0,,
118,CT,Chhattisgarh,CT_Bastar,Bastar,23,15,7,1,0,0,0,0,0,,
119,CT,Chhattisgarh,CT_Bijapur,Bijapur,2,0,2,0,0,0,0,0,0,,
120,CT,Chhattisgarh,CT_Bilaspur,Bilaspur,229,51,176,2,0,0,0,0,0,,
121,CT,Chhattisgarh,CT_Dakshin Bastar Dantewada,Dakshin Bastar Dantewada,26,18,8,0,0,0,0,0,0,,
122,CT,Chhattisgarh,CT_Dhamtari,Dhamtari,8,0,7,1,0,0,0,0,0,,
123,CT,Chhattisgarh,CT_Durg,Durg,169,34,132,3,0,0,0,0,0,,
124,CT,Chhattisgarh,CT_Gariaband,Gariaband,41,14,27,0,0,0,0,0,0,,
125,CT,Chhattisgarh,CT_Janjgir Champa,Janjgir Champa,252,20,231,1,0,0,0,0,0,,
126,CT,Chhattisgarh,CT_Jashpur,Jashpur,189,63,126,0,0,0,0,0,0,,
